,awayline,awayodds,awayteam,crowd,date,day,gameID,homeline,homeodds,hometeam,round,time,venue,year
1266,-44.5,1.11,Adelaide,49541,20/8/16,Saturday,6357,44.5,7,Port Adelaide,22,7:10PM,Adelaide Oval,2016
1267,-25.5,1.24,Melbourne,40693,21/8/16,Sunday,6358,25.5,4.25,Carlton,22,1:10PM,MCG,2016
1268,-59.5,1.03,Geelong,20477,21/8/16,Sunday,6359,59.5,15,Brisbane,22,3:20PM,Gabba,2016
1269,-43.5,1.08,Western Bulldogs,25308,21/8/16,Sunday,6360,43.5,8.5,Essendon,22,4:40PM,Etihad Stadium,2016
1270,24.5,3.8,Collingwood,52968,28/8/16,Sunday,6361,-24.5,1.28,Hawthorn,23,3:20PM,MCG,2016
1271,54.5,9,Brisbane,19000,28/8/16,Sunday,6362,-54.5,1.07,St Kilda,23,1:10PM,Etihad Stadium,2016
1272,-18.5,1.36,Carlton,46566,27/8/16,Saturday,6363,18.5,3.25,Essendon,23,2:10PM,MCG,2016
1273,-13.5,1.46,Port Adelaide,9213,27/8/16,Saturday,6364,13.5,2.8,Gold Coast,23,7:25PM,Metricon Stadium,2016
1274,55.5,11,Richmond,36570,27/8/16,Saturday,6365,-55.5,1.04,Sydney,23,4:35PM,SCG,2016
1275,-13.5,1.48,GWS,22295,27/8/16,Saturday,6366,13.5,2.7,North Melbourne,23,7:25PM,Etihad Stadium,2016
1276,35.5,5.5,Melbourne,24413,27/8/16,Saturday,6367,-35.5,1.16,Geelong,23,1:45PM,Simonds Stadium,2016
1277,25.5,3.8,West Coast,50785,26/8/16,Friday,6368,-25.5,1.28,Adelaide,23,7:40PM,Adelaide Oval,2016
1278,-16.5,1.43,Western Bulldogs,34765,28/8/16,Sunday,6369,16.5,2.9,Fremantle,23,2:40PM,Domain Stadium,2016
1279,16.5,2.97,St Kilda,100016,25/9/10,Saturday,5145,-16.5,1.41,Collingwood,Grand,2:30PM,MCG,2010
1280,29.5,4.7,Western Bulldogs,62694,18/9/10,Saturday,5144,-29.5,1.2,St Kilda,Preliminary,7:20PM,MCG,2010
1281,2.5,1.97,Geelong,95241,17/9/10,Friday,5143,-2.5,1.85,Collingwood,Preliminary,7:45PM,MCG,2010
1282,-1.5,1.86,Sydney,39596,11/9/10,Saturday,5142,1.5,1.97,Western Bulldogs,Semi,7:20PM,MCG,2010
1283,38.5,6.45,Fremantle,45056,10/9/10,Friday,5141,-38.5,1.12,Geelong,Semi,7:45PM,MCG,2010
1284,15.5,2.79,Carlton,41596,5/9/10,Sunday,5140,-15.5,1.46,Sydney,Elimination,2:40PM,ANZ Stadium,2010
1285,-6.5,1.67,Hawthorn,42719,4/9/10,Saturday,5138,6.5,2.23,Fremantle,Elimination,1:20PM,Domain Stadium,2010
1286,24.5,4.11,Western Bulldogs,66545,4/9/10,Saturday,5139,-24.5,1.25,Collingwood,Qualifying,7:20PM,MCG,2010
1287,18.5,3.2,St Kilda,63608,3/9/10,Friday,5137,-18.5,1.36,Geelong,Qualifying,7:45PM,MCG,2010
1288,-16.5,1.41,Richmond,73137,23/3/17,Thursday,9307,16.5,3.05,Carlton,1,7:20PM,MCG,2017
1289,-15.5,1.4,Western Bulldogs,66254,24/3/17,Friday,9308,15.5,3.05,Collingwood,1,7:50PM,MCG,2017
1290,6.5,2.25,Melbourne,36249,25/3/17,Saturday,9309,-6.5,1.67,St Kilda,1,4:35PM,Etihad Stadium,2017
1291,21.5,3.66,Port Adelaide,33129,25/3/17,Saturday,9310,-21.5,1.29,Sydney,1,4:35PM,SCG,2017
1292,26.5,3.85,Brisbane,12710,25/3/17,Saturday,9311,-26.5,1.27,Gold Coast,1,6:25PM,Metricon Stadium,2017
1293,-20.5,1.4,Hawthorn,78294,25/3/17,Saturday,9312,20.5,3.05,Essendon,1,7:25PM,MCG,2017
1294,-21.5,1.33,West Coast,21997,26/3/17,Sunday,9313,21.5,3.4,North Melbourne,1,1:10PM,Etihad Stadium,2017
1295,-2.5,1.81,GWS,43993,26/3/17,Sunday,9314,2.5,2,Adelaide,1,2:45PM,Adelaide Oval,2017
1296,-5.5,1.67,Geelong,34638,26/3/17,Sunday,9315,5.5,2.25,Fremantle,1,4:40PM,Domain Stadium,2017
1297,-6.5,1.73,Collingwood,58236,30/3/17,Thursday,9316,6.5,2.15,Richmond,2,7:20PM,MCG,2017
1298,16.5,2.98,Sydney,42834,31/3/17,Friday,9317,-16.5,1.4,Western Bulldogs,2,7:50PM,Etihad Stadium,2017
1299,-2.5,1.84,Adelaide,37420,1/4/17,Saturday,9318,2.5,2,Hawthorn,2,1:45PM,MCG,2017
