,AFLfantasy,Supercoach,behinds,disposals,freesAgainst,freesFor,gameID,goals,handballs,hitouts,homeAway,i50s,kicks,marks,name,tackles
43716,104,97,1,25,0,0,6083,0,12,0,Away,7,13,4,Nathan Jones,7
43717,54,72,0,19,2,0,6083,0,10,0,Away,1,9,3,Daniel Cross,1
43718,146,150,1,19,0,3,6083,0,7,58,Away,3,12,6,Max Gawn,4
43719,73,76,0,18,2,1,6083,1,8,0,Away,4,10,2,Dom Tyson,5
43720,83,97,1,18,1,2,6083,1,6,0,Away,3,12,3,Aaron Vandenberg,5
43721,62,73,0,16,0,0,6083,0,9,2,Away,4,7,3,Jack Watts,3
43722,76,76,1,14,0,1,6083,1,5,0,Away,1,9,5,Jeremy Howe,4
43723,64,63,0,13,2,0,6083,0,3,0,Away,4,10,6,Colin Garland,4
43724,52,64,0,13,0,1,6083,1,6,0,Away,1,7,4,Neville Jetta,0
43725,60,76,0,13,0,0,6083,1,7,0,Away,5,6,6,Jesse Hogan,1
43726,59,77,0,12,0,4,6083,0,6,0,Away,2,6,3,Heritier Lumumba,4
43727,49,46,3,11,1,0,6083,0,4,8,Away,3,7,4,Chris Dawes,0
43728,55,48,1,11,3,1,6083,0,5,0,Away,2,6,2,Jack Viney,7
43729,43,45,0,11,0,1,6083,0,3,0,Away,4,8,0,Angus Brayshaw,3
43730,71,70,2,9,0,0,6083,1,3,0,Away,1,6,1,Jeff Garlett,9
43731,31,38,1,9,1,0,6083,0,6,0,Away,0,3,0,James Harmes,3
43732,42,50,0,8,0,1,6083,0,7,0,Away,0,1,0,Alex N-Bullen,6
43733,34,34,0,8,0,0,6083,0,6,0,Away,0,2,0,Billy Stretch,4
43734,40,91,0,7,0,1,6083,0,3,1,Away,0,4,0,Lynden Dunn,5
43735,17,18,0,2,0,1,6083,0,1,0,Away,0,1,1,Jay K-Harris,2
43736,151,138,0,36,0,2,6084,0,16,0,Home,3,20,7,Liam Picken,9
43737,143,154,2,33,0,3,6084,1,13,0,Home,6,20,10,Jackson Macrae,4
43738,111,108,1,29,0,0,6084,0,8,0,Home,3,21,9,Matthew Boyd,1
43739,129,142,0,28,2,2,6084,2,13,1,Home,5,15,7,Marcus Bontempelli,7
43740,73,82,1,24,2,1,6084,1,14,0,Home,4,10,3,Mitchell Wallis,1
43741,81,105,0,23,0,2,6084,0,10,0,Home,0,13,4,Robert Murphy,2
43742,94,116,0,23,1,0,6084,2,8,0,Home,5,15,4,Luke Dahlhaus,3
43743,71,70,0,20,0,0,6084,0,4,0,Home,7,16,5,Jason Johannisen,0
43744,74,95,0,18,1,0,6084,0,5,0,Home,5,13,8,Easton Wood,1
43745,59,73,1,18,4,0,6084,2,6,0,Home,1,12,2,Jake Stringer,1
43746,57,68,0,17,0,0,6084,0,10,1,Home,3,7,5,Jarrad Grant,0
43747,72,67,0,16,1,3,6084,0,8,0,Home,3,8,4,Caleb Daniel,5
43748,57,73,0,14,0,0,6084,0,8,0,Home,1,6,5,Dale Morris,2
43749,43,72,0,13,0,1,6084,0,7,0,Home,0,6,2,Fletcher Roberts,1
43750,57,24,1,13,1,0,6084,0,3,0,Home,3,10,5,Lachlan Hunter,2
43751,45,52,0,11,1,0,6084,1,4,0,Home,1,7,3,Tory Dickson,1
43752,51,46,0,11,0,0,6084,0,4,0,Home,0,7,6,Joshua Prudden,1
43753,79,92,0,10,3,0,6084,0,5,38,Home,3,5,3,Will Minson,4
43754,66,65,1,10,1,1,6084,2,1,0,Home,1,9,6,Michael Talia,2
43755,40,33,1,9,1,0,6084,0,3,5,Home,1,6,3,Thomas Boyd,1
43756,23,26,0,8,3,1,6084,0,4,0,Home,2,4,1,Koby Stevens,2
43757,54,54,2,8,2,1,6084,3,1,0,Home,1,7,4,Jack Redpath,1
43758,119,153,0,30,2,5,6084,1,6,0,Away,8,24,2,Gary Jnr Ablett,6
43759,114,107,0,30,1,0,6084,0,11,0,Away,3,19,10,Kade Kolodjashnij,2
43760,83,102,0,21,1,1,6084,1,12,0,Away,4,9,4,Michael Rischitelli,4
43761,58,78,1,21,0,0,6084,0,14,0,Away,4,7,0,Touk Miller,2
43762,90,91,0,18,1,2,6084,1,7,0,Away,4,11,6,Nick Malceski,5
43763,60,69,0,17,3,1,6084,2,9,0,Away,2,8,2,Aaron Hall,2
43764,102,119,3,16,1,1,6084,2,3,1,Away,4,13,9,Tom Lynch,4
43765,70,86,0,16,1,1,6084,0,3,1,Away,2,13,6,Steven May,2
43766,67,72,0,15,0,0,6084,0,5,0,Away,1,10,1,Mitchell Hallahan,6
43767,72,74,0,15,0,1,6084,0,2,0,Away,2,13,4,Trent McKenzie,4
43768,53,62,0,14,1,2,6084,0,6,0,Away,2,8,2,Jarrod Harbrow,3
43769,72,63,0,14,0,2,6084,0,5,0,Away,4,9,3,David Swallow,6
43770,54,48,0,14,0,0,6084,0,8,0,Away,0,6,4,Matt Shaw,2
43771,52,67,0,12,0,0,6084,0,5,0,Away,3,7,3,Rory Thompson,3
43772,95,104,0,12,0,3,6084,0,6,30,Away,1,6,4,Tom Nicholls,5
43773,69,60,0,11,0,1,6084,2,2,0,Away,3,9,3,Brandon Matera,4
43774,50,70,0,10,0,1,6084,1,7,3,Away,0,3,3,Sam Day,2
43775,42,34,0,10,2,0,6084,0,2,0,Away,2,8,4,Jesse Lonergan,2
43776,30,37,0,7,1,0,6084,0,3,0,Away,2,4,1,Sebastian Tape,3
43777,25,22,0,5,0,1,6084,0,2,0,Away,0,3,1,Sean Lemmens,2
43778,4,8,0,4,3,1,6084,0,0,0,Away,0,4,0,Alex Sexton,0
43779,14,19,0,2,0,0,6084,1,1,0,Away,0,1,1,Charlie Dixon,0
43780,97,91,0,27,0,2,6085,0,17,0,Home,5,10,1,Ryan Bastinac,7
43781,81,93,1,24,0,2,6085,0,12,0,Home,2,12,2,Nick Dal Santo,3
43782,130,136,0,24,1,5,6085,2,13,0,Home,0,11,3,Andrew Swallow,12
43783,79,100,0,24,1,0,6085,1,14,0,Home,0,10,2,Ben Cunnington,3
43784,75,83,0,20,2,2,6085,0,11,0,Home,2,9,6,Samuel Wright,3
43785,79,73,0,19,1,0,6085,0,4,0,Home,5,15,7,Michael Firrito,2
43786,105,121,1,19,1,0,6085,3,8,0,Home,4,11,8,Shaun Higgins,4
43787,139,145,1,19,0,6,6085,1,11,45,Home,2,8,5,Todd Goldstein,5
43788,63,53,0,19,4,2,6085,0,14,0,Home,2,5,2,Ben Jacobs,6
43789,99,91,2,18,0,2,6085,2,7,0,Home,2,11,8,Jarrad Waite,3
43790,69,66,0,18,1,1,6085,1,8,0,Home,5,10,5,Sam Gibson,1
43791,77,101,0,18,0,0,6085,1,10,0,Home,2,8,5,Jamie MacMillan,3
43792,70,89,0,18,0,1,6085,1,9,0,Home,2,9,2,Shaun Atley,3
43793,65,66,0,17,0,0,6085,0,7,0,Home,1,10,3,Aaron Mullett,3
43794,76,62,0,16,0,0,6085,0,7,0,Home,3,9,1,Jack Ziebell,8
43795,65,76,0,15,0,0,6085,0,7,0,Home,0,8,5,Scott Thompson,3
43796,49,39,1,14,0,0,6085,0,8,0,Home,4,6,2,Brent Harvey,2
43797,52,66,3,12,0,0,6085,2,5,0,Home,3,7,2,Taylor Garner,0
43798,66,67,0,12,0,2,6085,0,3,7,Home,2,9,4,Ben Brown,3
43799,64,87,0,11,1,0,6085,3,4,0,Home,2,7,4,Drew Petrie,2
43800,42,45,0,11,1,0,6085,0,3,0,Home,0,8,5,Robbie Tarrant,0
