,awayline,awayodds,awayteam,date,gameID,homeline,homeodds,hometeam,round,time
124,51.5,10.25,Adelaide,2011-05-22,5213,-51.5,1.05,Collingwood,9,1:10PM
125,3.5,2.04,Hawthorn,2011-05-22,5214,-3.5,1.78,Sydney,9,2:10PM
126,5.5,2.15,Western Bulldogs,2011-05-22,5215,-5.5,1.71,West Coast,9,2:40PM
127,-31.5,1.17,Carlton,2011-05-27,5216,31.5,5.15,Melbourne,10,7:40PM
128,-3.5,1.8,Sydney,2011-05-28,5217,3.5,2.02,North Melbourne,10,2:10PM
129,29.5,3.8,West Coast,2011-05-29,5218,-29.5,1.27,Collingwood,10,2:10PM
130,9.5,2.39,St Kilda,2011-05-28,5219,-9.5,1.58,Fremantle,10,1:10PM
131,-63.5,1.04,Geelong,2011-05-28,5220,63.5,12.6,Gold Coast,10,7:10PM
132,28.5,4.15,Port Adelaide,2011-05-28,5221,-28.5,1.25,Richmond,10,8:10PM
133,24.5,3.9,Brisbane,2011-05-29,5222,-24.5,1.26,Adelaide,10,12:40PM
134,-22.5,1.3,Hawthorn,2011-05-29,5223,22.5,3.55,Western Bulldogs,10,4:40PM
135,27.5,4.3,Melbourne,2011-06-03,5224,-27.5,1.22,Essendon,11,7:40PM
136,40.5,7.05,Western Bulldogs,2011-06-04,5225,-40.5,1.1,Geelong,11,2:10PM
137,66.5,8.6,Gold Coast,2011-06-04,5226,-66.5,1.07,West Coast,11,1:10PM
138,3.5,2.05,Sydney,2011-06-04,5227,-3.5,1.81,Brisbane,11,7:10PM
139,32.5,4.8,St Kilda,2011-06-04,5228,-32.5,1.2,Collingwood,11,7:10PM
140,32.5,4.9,Fremantle,2011-06-05,5229,-32.5,1.18,Hawthorn,11,1:10PM
141,8.5,2.25,Adelaide,2011-06-05,5230,-8.5,1.65,North Melbourne,11,2:10PM
142,-27.5,1.21,Carlton,2011-06-05,5231,27.5,4.45,Port Adelaide,11,4:10PM
143,11.5,2.55,Western Bulldogs,2011-06-10,5232,-11.5,1.52,St Kilda,12,7:40PM
144,-7.5,1.66,West Coast,2011-06-11,5233,7.5,2.23,Adelaide,12,2:40PM
145,-21.5,1.35,North Melbourne,2011-06-11,5234,21.5,3.3,Gold Coast,12,7:10PM
146,14.5,2.81,Hawthorn,2011-06-11,5235,-14.5,1.46,Geelong,12,7:10PM
147,48.5,10.25,Brisbane,2011-06-12,5236,-48.5,1.05,Carlton,12,1:10PM
148,22.5,3.9,Richmond,2011-06-12,5237,-22.5,1.26,Sydney,12,2:10PM
149,3.5,2.04,Essendon,2011-06-12,5238,-3.5,1.78,Fremantle,12,2:40PM
150,-29.5,1.2,Collingwood,2011-06-13,5239,29.5,4.6,Melbourne,12,2:10PM
151,27.5,4.2,Adelaide,2011-06-17,5240,-27.5,1.23,Western Bulldogs,13,7:40PM
152,67.5,12.6,Gold Coast,2011-06-18,5241,-67.5,1.03,Hawthorn,13,2:10PM
153,8.5,2.31,North Melbourne,2011-06-18,5242,-8.5,1.62,Essendon,13,2:10PM
154,-5.5,1.69,Richmond,2011-06-18,5243,5.5,2.23,Brisbane,13,7:10PM
155,-21.5,1.29,Geelong,2011-06-18,5244,21.5,3.75,St Kilda,13,7:10PM
156,3.5,2.02,Fremantle,2011-06-19,5245,-3.5,1.8,Melbourne,13,1:10PM
157,23.5,3.9,Sydney,2011-06-19,5246,-23.5,1.26,Carlton,13,2:10PM
158,48.5,9.3,Port Adelaide,2011-06-19,5247,-48.5,1.06,West Coast,13,2:40PM
159,10.5,2.35,Essendon,2011-06-24,5248,-10.5,1.6,Hawthorn,14,7:40PM
160,-35.5,1.15,Western Bulldogs,2011-06-25,5249,35.5,5.5,Gold Coast,14,2:10PM
161,0.0,1.89,Melbourne,2011-06-25,5250,0.0,1.95,Richmond,14,2:10PM
162,-34.5,1.15,Collingwood,2011-06-25,5251,34.5,5.85,Sydney,14,7:10PM
163,33.5,5.85,Brisbane,2011-06-25,5252,-33.5,1.15,Fremantle,14,5:40PM
164,47.5,9.3,Adelaide,2011-06-26,5253,-47.5,1.06,Geelong,14,1:10PM
165,27.5,4.2,West Coast,2011-06-26,5254,-27.5,1.23,Carlton,14,2:10PM
166,-13.5,1.49,North Melbourne,2011-06-26,5255,13.5,2.62,Port Adelaide,14,4:10PM
167,-3.5,1.79,Melbourne,2011-07-01,5256,3.5,2.03,Western Bulldogs,15,7:40PM
168,-24.5,1.25,Carlton,2011-07-02,5257,24.5,4.0,Richmond,15,2:10PM
169,39.5,6.35,Gold Coast,2011-07-02,5258,-39.5,1.12,Fremantle,15,1:10PM
170,-43.5,1.09,Geelong,2011-07-02,5259,43.5,8.15,Essendon,15,7:10PM
171,-15.5,1.42,Sydney,2011-07-02,5260,15.5,2.95,Adelaide,15,7:10PM
172,17.5,2.95,Port Adelaide,2011-07-03,5261,-17.5,1.4,Brisbane,15,1:10PM
173,22.5,3.45,Hawthorn,2011-07-03,5262,-22.5,1.31,Collingwood,15,2:10PM
174,-2.5,1.8,St Kilda,2011-07-03,5263,2.5,2.02,North Melbourne,15,4:40PM
175,-8.5,1.58,Geelong,2011-07-08,5264,8.5,2.45,West Coast,16,6:40PM
176,39.5,7.05,Brisbane,2011-07-09,5265,-39.5,1.1,Hawthorn,16,2:10PM
177,-36.5,1.15,Sydney,2011-07-09,5266,36.5,5.85,Gold Coast,16,7:10PM
178,11.5,2.64,Richmond,2011-07-09,5267,-11.5,1.51,Essendon,16,7:10PM
179,44.5,8.0,North Melbourne,2011-07-10,5268,-44.5,1.08,Collingwood,16,1:10PM
180,-22.5,1.27,St Kilda,2011-07-10,5269,22.5,3.8,Port Adelaide,16,2:40PM
181,-22.5,1.3,Carlton,2011-07-10,5270,22.5,3.55,Western Bulldogs,16,4:40PM
182,-4.5,1.78,Essendon,2011-07-15,5271,4.5,2.09,Adelaide,17,8:10PM
183,37.5,5.6,Gold Coast,2011-07-16,5272,-37.5,1.16,Richmond,17,2:10PM
184,-35.5,1.18,Collingwood,2011-07-16,5273,35.5,5.15,Carlton,17,2:10PM
